Routine begin.
(-0.335922, 2.514223, 4.340324, 855.255600)
(-0.335944, 2.514229, 4.340342, 855.266700)
(-0.336482, 2.514226, 4.340840, 855.277800)
(-0.336514, 2.514237, 4.340889, 855.288900)
(-0.337409, 2.514287, 4.341726, 855.300000)
(-0.337469, 2.514288, 4.341791, 855.311200)
(-0.336614, 2.514200, 4.341177, 855.322300)
(-0.337099, 2.514263, 4.341490, 855.333400)
(-0.337150, 2.514259, 4.341537, 855.344500)
(-0.336759, 2.514262, 4.341166, 855.355600)
(-0.336807, 2.514252, 4.341199, 855.366700)
(-0.336911, 2.514276, 4.341104, 855.377800)
(-0.336964, 2.514279, 4.341127, 855.388900)
(-0.337083, 2.514259, 4.341298, 855.400000)
(-0.337121, 2.514253, 4.341334, 855.411100)
(-0.337281, 2.514308, 4.341242, 855.422200)
(-0.337064, 2.514302, 4.341294, 855.433300)
(-0.337090, 2.514309, 4.341328, 855.444500)
(-0.337557, 2.514285, 4.341808, 855.455600)
(-0.337613, 2.514272, 4.341848, 855.466700)
(-0.337193, 2.514192, 4.341428, 855.477800)
(-0.337231, 2.514184, 4.341460, 855.488900)
(-0.337204, 2.514290, 4.341412, 855.500000)
(-0.337241, 2.514293, 4.341447, 855.511100)
(-0.337693, 2.514328, 4.341987, 855.522200)
(-0.338142, 2.514369, 4.342444, 855.533300)
(-0.338196, 2.514386, 4.342513, 855.544500)
(-0.338269, 2.514390, 4.342567, 855.555600)
(-0.337369, 2.514320, 4.341702, 855.566700)
(-0.337409, 2.514318, 4.341748, 855.577800)
(-0.337472, 2.514327, 4.341792, 855.588900)
(-0.338013, 2.514220, 4.342410, 855.600000)
(-0.338076, 2.514232, 4.342472, 855.611100)
(-0.337487, 2.514242, 4.341957, 855.622300)
(-0.337212, 2.514124, 4.341609, 855.633400)
(-0.338378, 2.514243, 4.342657, 855.644500)
(-0.338240, 2.514204, 4.342535, 855.655600)
(-0.338303, 2.514193, 4.342591, 855.666700)
(-0.338220, 2.514254, 4.342505, 855.677800)
(-0.338275, 2.514255, 4.342562, 855.688900)
(-0.337769, 2.514231, 4.342140, 855.700000)
(-0.336916, 2.514214, 4.341363, 855.711100)
(-0.336917, 2.514218, 4.341394, 855.722200)
(-0.336703, 2.514145, 4.340941, 855.733300)
(-0.336734, 2.514134, 4.340946, 855.744400)
(-0.336075, 2.514082, 4.340251, 855.755600)
(-0.336079, 2.514079, 4.340247, 855.766700)
(-0.336253, 2.513984, 4.340497, 855.777800)
(-0.336866, 2.514087, 4.341089, 855.788900)
(-0.336893, 2.514082, 4.341103, 855.800000)
(-0.336580, 2.514054, 4.340764, 855.811200)
(-0.336590, 2.514034, 4.340765, 855.822300)
(-0.337388, 2.514065, 4.341612, 855.833400)
(-0.337410, 2.514045, 4.341647, 855.844500)
(-0.338349, 2.514137, 4.342608, 855.855600)
(-0.338397, 2.514127, 4.342672, 855.866700)
(-0.338798, 2.514204, 4.343086, 855.877800)
(-0.338867, 2.514204, 4.343169, 855.888900)
(-0.338520, 2.514259, 4.342915, 855.900000)
(-0.338335, 2.514232, 4.342709, 855.911100)
(-0.338382, 2.514228, 4.342780, 855.922200)
(-0.338763, 2.514258, 4.343188, 855.933300)
(-0.338834, 2.514262, 4.343263, 855.944500)
(-0.338154, 2.514181, 4.342576, 855.955600)
(-0.338202, 2.514182, 4.342619, 855.966700)
(-0.339238, 2.514271, 4.343542, 855.977800)
(-0.338458, 2.514215, 4.342748, 855.988900)
(-0.338961, 2.514256, 4.343280, 856.000000)
(-0.337498, 2.514232, 4.341780, 856.011100)
(-0.337537, 2.514256, 4.341824, 856.022200)
(-0.336795, 2.514116, 4.341229, 856.033300)
(-0.336817, 2.514116, 4.341262, 856.044500)
(-0.336788, 2.514127, 4.341203, 856.055600)
(-0.336807, 2.514129, 4.341233, 856.066700)
(-0.336730, 2.514013, 4.341188, 856.077800)
(-0.336542, 2.513990, 4.340895, 856.088900)
(-0.336563, 2.513982, 4.340909, 856.100000)
(-0.336289, 2.513968, 4.340486, 856.111100)
(-0.336319, 2.513962, 4.340480, 856.122300)
(-0.335690, 2.513876, 4.340038, 856.133400)
(-0.335699, 2.513855, 4.340028, 856.144500)
(-0.335036, 2.513816, 4.339367, 856.155600)
(-0.334462, 2.513785, 4.338791, 856.166700)
(-0.334422, 2.513769, 4.338769, 856.177800)
(-0.333817, 2.513770, 4.338090, 856.188900)
(-0.333771, 2.513758, 4.338031, 856.200000)
(-0.333428, 2.513672, 4.337792, 856.211100)
(-0.333377, 2.513654, 4.337724, 856.222200)
(-0.333635, 2.513658, 4.337973, 856.233300)
(-0.333588, 2.513641, 4.337921, 856.244400)
(-0.333453, 2.513590, 4.337763, 856.255600)
(-0.333347, 2.513582, 4.337555, 856.266700)
(-0.333298, 2.513564, 4.337493, 856.277800)
(-0.332869, 2.513563, 4.337189, 856.288900)
(-0.332801, 2.513561, 4.337141, 856.300000)
(-0.333099, 2.513699, 4.337462, 856.311200)
(-0.333036, 2.513702, 4.337422, 856.322300)
(-0.332976, 2.513640, 4.337417, 856.333400)
(-0.333194, 2.513715, 4.337638, 856.344500)
(-0.333139, 2.513721, 4.337608, 856.355600)
(-0.332270, 2.513592, 4.336901, 856.366700)
(-0.332175, 2.513592, 4.336850, 856.377800)
(-0.332292, 2.513538, 4.336744, 856.388900)
(-0.331846, 2.513412, 4.336262, 856.400000)
(-0.332247, 2.513467, 4.336588, 856.411100)
(-0.332224, 2.513483, 4.336473, 856.422200)
(-0.332148, 2.513463, 4.336398, 856.433300)
(-0.331143, 2.513351, 4.335643, 856.444500)
(-0.331032, 2.513330, 4.335567, 856.455600)
(-0.331739, 2.513490, 4.336143, 856.466700)
(-0.331653, 2.513487, 4.336070, 856.477800)
(-0.331643, 2.513437, 4.336079, 856.488900)
(-0.331178, 2.513366, 4.335636, 856.500000)
(-0.331113, 2.513363, 4.335556, 856.511100)
(-0.331783, 2.513461, 4.336064, 856.522200)
(-0.331716, 2.513458, 4.335989, 856.533300)
(-0.331755, 2.513443, 4.336123, 856.544500)
(-0.331688, 2.513434, 4.336062, 856.555600)
(-0.331186, 2.513435, 4.335621, 856.566700)
(-0.331103, 2.513435, 4.335562, 856.577800)
(-0.331325, 2.513374, 4.335766, 856.588900)
(-0.331559, 2.513448, 4.336064, 856.600000)
(-0.331488, 2.513440, 4.336018, 856.611100)
(-0.331113, 2.513412, 4.335549, 856.622300)
(-0.331041, 2.513405, 4.335472, 856.633400)
(-0.332147, 2.513479, 4.336423, 856.644500)
(-0.332097, 2.513479, 4.336382, 856.655600)
(-0.332975, 2.513502, 4.337147, 856.666700)
(-0.332389, 2.513495, 4.336693, 856.677800)
(-0.332348, 2.513482, 4.336645, 856.688900)
(-0.332821, 2.513445, 4.337180, 856.700000)
(-0.332778, 2.513419, 4.337162, 856.711100)
(-0.332721, 2.513459, 4.337095, 856.722200)
(-0.332690, 2.513446, 4.337069, 856.733300)
(-0.332121, 2.513462, 4.336514, 856.744400)
(-0.332073, 2.513451, 4.336473, 856.755600)
(-0.331596, 2.513389, 4.335960, 856.766700)
(-0.332178, 2.513413, 4.336482, 856.777800)
(-0.332130, 2.513402, 4.336432, 856.788900)
(-0.331492, 2.513338, 4.335845, 856.800000)
(-0.331451, 2.513330, 4.335777, 856.811200)
(-0.331721, 2.513297, 4.336038, 856.822300)
(-0.331684, 2.513281, 4.335988, 856.833400)
(-0.331660, 2.513335, 4.335873, 856.844500)
(-0.331622, 2.513332, 4.335810, 856.855600)
(-0.331195, 2.513271, 4.335382, 856.866700)
(-0.332067, 2.513345, 4.336230, 856.877800)
(-0.332042, 2.513331, 4.336197, 856.888900)
(-0.332003, 2.513361, 4.336276, 856.900000)
(-0.331978, 2.513349, 4.336236, 856.911100)
(-0.332383, 2.513294, 4.336660, 856.922200)
(-0.332358, 2.513275, 4.336630, 856.933300)
(-0.332915, 2.513398, 4.337197, 856.944500)
(-0.332912, 2.513397, 4.337183, 856.955600)
(-0.332243, 2.513408, 4.336637, 856.966700)
(-0.331943, 2.513308, 4.336295, 856.977800)
(-0.333186, 2.513434, 4.337486, 856.988900)
(-0.333200, 2.513425, 4.337481, 857.000000)
(-0.332415, 2.513329, 4.336834, 857.011100)
(-0.332415, 2.513329, 4.336834, 857.022200)
(-0.333189, 2.513431, 4.337490, 857.033300)
(-0.333203, 2.513424, 4.337483, 857.044500)
(-0.333203, 2.513424, 4.337483, 857.055600)
(-0.332985, 2.513350, 4.337227, 857.066700)
(-0.333001, 2.513340, 4.337229, 857.077800)
(-0.333001, 2.513340, 4.337229, 857.088900)
(-0.333552, 2.513396, 4.337704, 857.100000)
(-0.333552, 2.513396, 4.337704, 857.111100)
(-0.333570, 2.513398, 4.337714, 857.122300)
(-0.333882, 2.513366, 4.338290, 857.133400)
(-0.333891, 2.513359, 4.338321, 857.144500)
(-0.333891, 2.513359, 4.338321, 857.155600)
(-0.334651, 2.513395, 4.339036, 857.166700)
(-0.334676, 2.513383, 4.339067, 857.177800)
(-0.334676, 2.513383, 4.339067, 857.188900)
(-0.333783, 2.513372, 4.338225, 857.200000)
(-0.333779, 2.513365, 4.338234, 857.211100)
(-0.333779, 2.513365, 4.338234, 857.222200)
(-0.333916, 2.513250, 4.338065, 857.233300)
(-0.333936, 2.513235, 4.338049, 857.244400)
(-0.333388, 2.513178, 4.337629, 857.255600)
(-0.333388, 2.513178, 4.337629, 857.266700)
(-0.333866, 2.513188, 4.338152, 857.277800)
(-0.333861, 2.513188, 4.338292, 857.288900)
(-0.333866, 2.513168, 4.338316, 857.300000)
(-0.333491, 2.513130, 4.338024, 857.311200)
(-0.333491, 2.513130, 4.338024, 857.322300)
(-0.333488, 2.513104, 4.338034, 857.333400)
(-0.332871, 2.513038, 4.337331, 857.344500)
(-0.332373, 2.512987, 4.336802, 857.355600)
(-0.332355, 2.512964, 4.336783, 857.366700)
(-0.331975, 2.512993, 4.336316, 857.377800)
(-0.331953, 2.512978, 4.336283, 857.388900)
(-0.331442, 2.512897, 4.335876, 857.400000)
(-0.331153, 2.512810, 4.335595, 857.411100)
(-0.331114, 2.512784, 4.335548, 857.422200)
(-0.330966, 2.512755, 4.335229, 857.433300)
(-0.330922, 2.512736, 4.335163, 857.444500)
(-0.330882, 2.512721, 4.335075, 857.455600)
(-0.330618, 2.512686, 4.334893, 857.466700)
(-0.330549, 2.512670, 4.334831, 857.477800)
(-0.330556, 2.512587, 4.334970, 857.488900)
(-0.330470, 2.512553, 4.334903, 857.500000)
(-0.330365, 2.512531, 4.334759, 857.511100)
(-0.330293, 2.512493, 4.334696, 857.522200)
(-0.331104, 2.512561, 4.335412, 857.533300)
(-0.331049, 2.512525, 4.335367, 857.544500)
(-0.330846, 2.512438, 4.335472, 857.555600)
(-0.330773, 2.512406, 4.335440, 857.566700)
(-0.331365, 2.512494, 4.335823, 857.577800)
(-0.331918, 2.512556, 4.336347, 857.588900)
(-0.331901, 2.512541, 4.336313, 857.600000)
(-0.332655, 2.512616, 4.336897, 857.611100)
(-0.332672, 2.512599, 4.336878, 857.622300)
(-0.332586, 2.512554, 4.336904, 857.633400)
(-0.332576, 2.512532, 4.336905, 857.644500)
(-0.333015, 2.512615, 4.337260, 857.655600)
(-0.333029, 2.512590, 4.337252, 857.666700)
(-0.332906, 2.512527, 4.337288, 857.677800)
(-0.332656, 2.512533, 4.336946, 857.688900)
(-0.332637, 2.512510, 4.336938, 857.700000)
(-0.333159, 2.512504, 4.337452, 857.711100)
(-0.333153, 2.512483, 4.337439, 857.722200)
(-0.333618, 2.512586, 4.337704, 857.733300)
(-0.333631, 2.512568, 4.337699, 857.744400)
(-0.334181, 2.512438, 4.338545, 857.755600)
(-0.334398, 2.512400, 4.338854, 857.766700)
(-0.334412, 2.512366, 4.338899, 857.777800)
(-0.334019, 2.512187, 4.338653, 857.788900)
(-0.334016, 2.512141, 4.338688, 857.800000)
