Routine begin.
(-0.376069, 2.390197, 3.706004, 1117.133000)
(-0.376051, 2.390131, 3.706010, 1117.145000)
(-0.376088, 2.390145, 3.705950, 1117.156000)
(-0.376108, 2.390162, 3.705964, 1117.167000)
(-0.376097, 2.390211, 3.705925, 1117.178000)
(-0.376104, 2.390221, 3.705935, 1117.189000)
(-0.376063, 2.390186, 3.705930, 1117.200000)
(-0.376024, 2.390233, 3.705859, 1117.211000)
(-0.375929, 2.390175, 3.705807, 1117.222000)
(-0.375869, 2.390193, 3.705746, 1117.233000)
(-0.375957, 2.390106, 3.705703, 1117.245000)
(-0.376008, 2.390057, 3.705780, 1117.256000)
(-0.376018, 2.390058, 3.705775, 1117.267000)
(-0.376073, 2.390125, 3.705839, 1117.278000)
(-0.376021, 2.390172, 3.705769, 1117.289000)
(-0.376091, 2.390094, 3.705752, 1117.300000)
(-0.376054, 2.390107, 3.705724, 1117.311000)
(-0.376023, 2.390089, 3.705797, 1117.322000)
(-0.376028, 2.390081, 3.705847, 1117.333000)
(-0.376112, 2.390150, 3.705846, 1117.344000)
(-0.376123, 2.390131, 3.705961, 1117.356000)
(-0.376139, 2.390134, 3.705976, 1117.367000)
(-0.376147, 2.390069, 3.706034, 1117.378000)
(-0.376045, 2.390115, 3.705854, 1117.389000)
(-0.376042, 2.390112, 3.705845, 1117.400000)
(-0.376041, 2.390107, 3.705840, 1117.411000)
(-0.375944, 2.390147, 3.705704, 1117.422000)
(-0.375859, 2.390171, 3.705740, 1117.433000)
(-0.375846, 2.390176, 3.705725, 1117.444000)
(-0.375976, 2.390167, 3.705782, 1117.456000)
(-0.375975, 2.390179, 3.705751, 1117.467000)
(-0.375941, 2.390122, 3.705657, 1117.478000)
(-0.375802, 2.390162, 3.705470, 1117.489000)
(-0.375801, 2.390157, 3.705450, 1117.500000)
(-0.375903, 2.390132, 3.705544, 1117.511000)
(-0.375894, 2.390131, 3.705536, 1117.522000)
(-0.375971, 2.390200, 3.705693, 1117.533000)
(-0.375981, 2.390207, 3.705706, 1117.544000)
(-0.376003, 2.390134, 3.705712, 1117.556000)
(-0.376002, 2.390129, 3.705729, 1117.567000)
(-0.376125, 2.390129, 3.705948, 1117.578000)
(-0.376143, 2.390122, 3.705977, 1117.589000)
(-0.376181, 2.390099, 3.706089, 1117.600000)
(-0.376212, 2.390053, 3.706114, 1117.611000)
(-0.376235, 2.390042, 3.706145, 1117.622000)
(-0.376123, 2.390080, 3.705945, 1117.633000)
(-0.376120, 2.390072, 3.705953, 1117.645000)
(-0.375950, 2.390085, 3.705680, 1117.656000)
(-0.375938, 2.390075, 3.705675, 1117.667000)
(-0.375845, 2.390083, 3.705694, 1117.678000)
(-0.375830, 2.390074, 3.705698, 1117.689000)
(-0.375892, 2.390127, 3.705743, 1117.700000)
(-0.375960, 2.390138, 3.705889, 1117.711000)
(-0.375961, 2.390145, 3.705911, 1117.722000)
(-0.376107, 2.390090, 3.705995, 1117.733000)
(-0.376108, 2.390092, 3.706022, 1117.745000)
(-0.376004, 2.390025, 3.705872, 1117.756000)
(-0.376014, 2.390022, 3.705878, 1117.767000)
(-0.375909, 2.390124, 3.705703, 1117.778000)
(-0.375889, 2.390176, 3.705646, 1117.789000)
(-0.375889, 2.390182, 3.705653, 1117.800000)
(-0.375882, 2.390193, 3.705670, 1117.811000)
(-0.375864, 2.390231, 3.705614, 1117.822000)
(-0.375875, 2.390181, 3.705597, 1117.833000)
(-0.375866, 2.390188, 3.705595, 1117.844000)
(-0.375837, 2.390235, 3.705530, 1117.856000)
(-0.375838, 2.390246, 3.705528, 1117.867000)
(-0.375795, 2.390234, 3.705507, 1117.878000)
(-0.375719, 2.390189, 3.705339, 1117.889000)
(-0.375693, 2.390189, 3.705317, 1117.900000)
(-0.375704, 2.390221, 3.705307, 1117.911000)
(-0.375686, 2.390188, 3.705296, 1117.922000)
(-0.375811, 2.390162, 3.705461, 1117.933000)
(-0.375790, 2.390153, 3.705456, 1117.944000)
(-0.375890, 2.390141, 3.705607, 1117.956000)
(-0.375989, 2.390206, 3.705780, 1117.967000)
(-0.376025, 2.390214, 3.705793, 1117.978000)
(-0.375918, 2.390221, 3.705643, 1117.989000)
(-0.375942, 2.390226, 3.705644, 1118.000000)
(-0.376004, 2.390119, 3.705669, 1118.011000)
(-0.376016, 2.390123, 3.705687, 1118.022000)
(-0.376186, 2.390122, 3.705907, 1118.033000)
(-0.376226, 2.390106, 3.705936, 1118.044000)
(-0.376193, 2.390071, 3.705976, 1118.056000)
(-0.376068, 2.390089, 3.705841, 1118.067000)
(-0.376078, 2.390081, 3.705862, 1118.078000)
(-0.375929, 2.390094, 3.705628, 1118.089000)
(-0.375934, 2.390079, 3.705631, 1118.100000)
(-0.375812, 2.390131, 3.705497, 1118.111000)
(-0.375790, 2.390174, 3.705517, 1118.122000)
(-0.375918, 2.390146, 3.705739, 1118.133000)
(-0.375916, 2.390163, 3.705768, 1118.145000)
(-0.376060, 2.390160, 3.705872, 1118.156000)
(-0.376084, 2.390176, 3.705865, 1118.167000)
(-0.376104, 2.390180, 3.705883, 1118.178000)
(-0.376047, 2.390110, 3.705790, 1118.189000)
(-0.376058, 2.390111, 3.705800, 1118.200000)
(-0.375986, 2.390175, 3.705728, 1118.211000)
(-0.375986, 2.390140, 3.705722, 1118.222000)
(-0.375938, 2.390104, 3.705742, 1118.233000)
(-0.375911, 2.390175, 3.705764, 1118.245000)
(-0.375902, 2.390206, 3.705735, 1118.256000)
(-0.375901, 2.390183, 3.705738, 1118.267000)
(-0.375712, 2.390181, 3.705468, 1118.278000)
(-0.375735, 2.390173, 3.705431, 1118.289000)
(-0.375742, 2.390174, 3.705403, 1118.300000)
(-0.375837, 2.390280, 3.705611, 1118.311000)
(-0.375832, 2.390298, 3.705622, 1118.322000)
(-0.376064, 2.390127, 3.705818, 1118.333000)
(-0.376093, 2.390130, 3.705845, 1118.344000)
(-0.375972, 2.390112, 3.705736, 1118.356000)
(-0.375982, 2.390051, 3.705721, 1118.367000)
(-0.375993, 2.390043, 3.705729, 1118.378000)
(-0.375886, 2.390071, 3.705687, 1118.389000)
(-0.375859, 2.390135, 3.705714, 1118.400000)
(-0.375806, 2.390180, 3.705667, 1118.411000)
(-0.375820, 2.390089, 3.705638, 1118.422000)
(-0.375955, 2.390125, 3.705701, 1118.433000)
(-0.376046, 2.390131, 3.705807, 1118.444000)
(-0.376077, 2.390085, 3.705813, 1118.456000)
(-0.375926, 2.390082, 3.705618, 1118.467000)
(-0.375883, 2.390183, 3.705648, 1118.478000)
(-0.375800, 2.390233, 3.705493, 1118.489000)
(-0.375806, 2.390182, 3.705459, 1118.500000)
(-0.375894, 2.390142, 3.705600, 1118.511000)
(-0.375968, 2.390096, 3.705750, 1118.522000)
(-0.375989, 2.390105, 3.705791, 1118.533000)
(-0.375980, 2.390141, 3.705760, 1118.544000)
(-0.375985, 2.390135, 3.705775, 1118.556000)
(-0.376042, 2.390140, 3.705882, 1118.567000)
(-0.376068, 2.390092, 3.705887, 1118.578000)
(-0.375922, 2.390067, 3.705613, 1118.589000)
(-0.375901, 2.390054, 3.705623, 1118.600000)
(-0.375862, 2.390158, 3.705492, 1118.611000)
(-0.375836, 2.390180, 3.705468, 1118.622000)
(-0.375985, 2.390141, 3.705712, 1118.633000)
(-0.375991, 2.390105, 3.705717, 1118.645000)
(-0.375921, 2.390090, 3.705681, 1118.656000)
(-0.375907, 2.390081, 3.705684, 1118.667000)
(-0.375922, 2.390110, 3.705721, 1118.678000)
(-0.375923, 2.390106, 3.705773, 1118.689000)
(-0.375911, 2.390159, 3.705813, 1118.700000)
(-0.375916, 2.390170, 3.705848, 1118.711000)
(-0.375910, 2.390180, 3.705870, 1118.722000)
(-0.375888, 2.390069, 3.705781, 1118.733000)
(-0.375877, 2.390061, 3.705801, 1118.745000)
(-0.375952, 2.390082, 3.705751, 1118.756000)
(-0.376071, 2.390067, 3.705901, 1118.767000)
(-0.376094, 2.390072, 3.705935, 1118.778000)
(-0.376135, 2.390068, 3.705997, 1118.789000)
(-0.376162, 2.390075, 3.706017, 1118.800000)
(-0.376161, 2.390084, 3.706021, 1118.811000)
(-0.376137, 2.390064, 3.706084, 1118.822000)
(-0.376096, 2.390060, 3.706061, 1118.833000)
(-0.376049, 2.390141, 3.706023, 1118.844000)
(-0.376105, 2.390090, 3.706005, 1118.856000)
(-0.375964, 2.390081, 3.705818, 1118.867000)
(-0.375982, 2.390044, 3.705787, 1118.878000)
(-0.375742, 2.390102, 3.705458, 1118.889000)
(-0.375748, 2.390091, 3.705411, 1118.900000)
(-0.375772, 2.390064, 3.705474, 1118.911000)
(-0.375771, 2.390091, 3.705464, 1118.922000)
(-0.375887, 2.390074, 3.705632, 1118.933000)
(-0.375978, 2.390044, 3.705722, 1118.944000)
(-0.375972, 2.390028, 3.705729, 1118.956000)
(-0.375852, 2.390023, 3.705536, 1118.967000)
(-0.375795, 2.390048, 3.705540, 1118.978000)
(-0.375554, 2.390065, 3.705204, 1118.989000)
(-0.375540, 2.390177, 3.705161, 1119.000000)
(-0.375597, 2.390200, 3.705253, 1119.011000)
(-0.375585, 2.390176, 3.705233, 1119.022000)
(-0.375741, 2.390115, 3.705488, 1119.033000)
(-0.375908, 2.390107, 3.705689, 1119.044000)
(-0.375917, 2.390102, 3.705711, 1119.056000)
(-0.375980, 2.390080, 3.705805, 1119.067000)
(-0.375990, 2.390070, 3.705832, 1119.078000)
(-0.376014, 2.390056, 3.705858, 1119.089000)
(-0.376028, 2.390073, 3.705805, 1119.100000)
(-0.376042, 2.390065, 3.705823, 1119.111000)
(-0.375897, 2.390072, 3.705590, 1119.122000)
(-0.375905, 2.390086, 3.705585, 1119.133000)
(-0.375748, 2.390093, 3.705336, 1119.145000)
(-0.375720, 2.390100, 3.705313, 1119.156000)
(-0.375652, 2.390110, 3.705191, 1119.167000)
(-0.375631, 2.390115, 3.705179, 1119.178000)
(-0.375650, 2.390101, 3.705209, 1119.189000)
(-0.375654, 2.390127, 3.705214, 1119.200000)
(-0.375734, 2.390076, 3.705327, 1119.211000)
(-0.375789, 2.390054, 3.705380, 1119.222000)
(-0.375779, 2.390053, 3.705384, 1119.233000)
(-0.375684, 2.390108, 3.705276, 1119.245000)
(-0.375634, 2.390089, 3.705239, 1119.256000)
(-0.375628, 2.390084, 3.705240, 1119.267000)
(-0.375624, 2.390105, 3.705530, 1119.278000)
(-0.375613, 2.390106, 3.705547, 1119.289000)
(-0.375754, 2.390167, 3.705481, 1119.300000)
(-0.375858, 2.390128, 3.705659, 1119.311000)
(-0.375877, 2.389948, 3.705721, 1119.322000)
(-0.376026, 2.389946, 3.705875, 1119.333000)
(-0.376025, 2.389961, 3.705796, 1119.344000)
(-0.375949, 2.389885, 3.705795, 1119.356000)
(-0.375791, 2.390008, 3.705493, 1119.367000)
(-0.375784, 2.390015, 3.705490, 1119.378000)
(-0.375764, 2.390037, 3.705427, 1119.389000)
(-0.375778, 2.390023, 3.705448, 1119.400000)
(-0.375772, 2.390021, 3.705442, 1119.411000)
(-0.375959, 2.389985, 3.705757, 1119.422000)
(-0.375951, 2.389868, 3.705801, 1119.433000)
(-0.375676, 2.389978, 3.705364, 1119.444000)
(-0.375697, 2.389928, 3.705343, 1119.456000)
(-0.375705, 2.389905, 3.705344, 1119.467000)
(-0.375590, 2.389839, 3.705202, 1119.478000)
(-0.375499, 2.389891, 3.704995, 1119.489000)
