Routine begin.
(-0.351394, 2.927413, 3.669124, 1333.733000)
(-0.351872, 2.927429, 3.669152, 1333.745000)
(-0.352009, 2.927397, 3.669285, 1333.756000)
(-0.351994, 2.927589, 3.669283, 1333.767000)
(-0.351940, 2.927464, 3.669447, 1333.778000)
(-0.351853, 2.927408, 3.669622, 1333.789000)
(-0.351713, 2.927438, 3.669409, 1333.800000)
(-0.351731, 2.927454, 3.669439, 1333.811000)
(-0.351958, 2.927413, 3.669795, 1333.822000)
(-0.352009, 2.927445, 3.669835, 1333.833000)
(-0.351919, 2.927487, 3.669740, 1333.844000)
(-0.351838, 2.927511, 3.669659, 1333.856000)
(-0.351648, 2.927380, 3.669310, 1333.867000)
(-0.351573, 2.927357, 3.669184, 1333.878000)
(-0.351610, 2.927378, 3.669205, 1333.889000)
(-0.351657, 2.927483, 3.669088, 1333.900000)
(-0.351679, 2.927504, 3.669100, 1333.911000)
(-0.351613, 2.927588, 3.669131, 1333.922000)
(-0.351320, 2.927676, 3.668677, 1333.933000)
(-0.351281, 2.927496, 3.668594, 1333.944000)
(-0.351346, 2.927426, 3.668645, 1333.956000)
(-0.351251, 2.927374, 3.668693, 1333.967000)
(-0.351377, 2.927330, 3.668894, 1333.978000)
(-0.351393, 2.927305, 3.668950, 1333.989000)
(-0.351450, 2.927375, 3.669022, 1334.000000)
(-0.351550, 2.927414, 3.668952, 1334.011000)
(-0.351309, 2.927433, 3.668528, 1334.022000)
(-0.351534, 2.927430, 3.668852, 1334.033000)
(-0.351542, 2.927428, 3.668832, 1334.044000)
(-0.351559, 2.927415, 3.668840, 1334.056000)
(-0.351635, 2.927498, 3.668899, 1334.067000)
(-0.351710, 2.927458, 3.668963, 1334.078000)
(-0.351415, 2.927415, 3.668815, 1334.089000)
(-0.351487, 2.927456, 3.668953, 1334.100000)
(-0.351507, 2.927459, 3.668950, 1334.111000)
(-0.351496, 2.927505, 3.669005, 1334.122000)
(-0.351471, 2.927507, 3.668999, 1334.133000)
(-0.351503, 2.927451, 3.668958, 1334.145000)
(-0.351497, 2.927447, 3.668938, 1334.156000)
(-0.351652, 2.927383, 3.669149, 1334.167000)
(-0.351751, 2.927446, 3.669343, 1334.178000)
(-0.351752, 2.927449, 3.669360, 1334.189000)
(-0.351606, 2.927385, 3.669178, 1334.200000)
(-0.351589, 2.927375, 3.669168, 1334.211000)
(-0.351315, 2.927356, 3.668877, 1334.222000)
(-0.351253, 2.927350, 3.668834, 1334.233000)
(-0.351218, 2.927341, 3.668804, 1334.245000)
(-0.351278, 2.927508, 3.668578, 1334.256000)
(-0.351238, 2.927517, 3.668535, 1334.267000)
(-0.351236, 2.927363, 3.668709, 1334.278000)
(-0.351206, 2.927353, 3.668680, 1334.289000)
(-0.351520, 2.927379, 3.669007, 1334.300000)
(-0.351535, 2.927366, 3.669020, 1334.311000)
(-0.351638, 2.927420, 3.669231, 1334.322000)
(-0.351746, 2.927525, 3.669199, 1334.333000)
(-0.351789, 2.927541, 3.669210, 1334.344000)
(-0.351514, 2.927434, 3.668951, 1334.356000)
(-0.351516, 2.927434, 3.668931, 1334.367000)
(-0.351733, 2.927409, 3.668895, 1334.378000)
(-0.351750, 2.927402, 3.668869, 1334.389000)
(-0.351673, 2.927438, 3.668976, 1334.400000)
(-0.351692, 2.927436, 3.668950, 1334.411000)
(-0.351526, 2.927336, 3.668932, 1334.422000)
(-0.351439, 2.927423, 3.668808, 1334.433000)
(-0.351450, 2.927431, 3.668786, 1334.444000)
(-0.351439, 2.927431, 3.668973, 1334.456000)
(-0.351429, 2.927435, 3.668949, 1334.467000)
(-0.351485, 2.927406, 3.668903, 1334.478000)
(-0.351477, 2.927403, 3.668873, 1334.489000)
(-0.351540, 2.927439, 3.668879, 1334.500000)
(-0.351538, 2.927407, 3.668853, 1334.511000)
(-0.351471, 2.927370, 3.669024, 1334.522000)
(-0.351498, 2.927363, 3.669064, 1334.533000)
(-0.351442, 2.927330, 3.669024, 1334.544000)
(-0.351486, 2.927263, 3.669127, 1334.556000)
(-0.351629, 2.927330, 3.669158, 1334.567000)
(-0.351596, 2.927424, 3.669213, 1334.578000)
(-0.351757, 2.927511, 3.669084, 1334.589000)
(-0.351482, 2.927443, 3.669036, 1334.600000)
(-0.351626, 2.927299, 3.669144, 1334.611000)
(-0.351633, 2.927284, 3.669169, 1334.622000)
(-0.351830, 2.927416, 3.669456, 1334.633000)
(-0.351792, 2.927404, 3.669436, 1334.645000)
(-0.351842, 2.927371, 3.669433, 1334.656000)
(-0.351527, 2.927404, 3.668762, 1334.667000)
(-0.351400, 2.927363, 3.668766, 1334.678000)
(-0.351390, 2.927320, 3.668723, 1334.689000)
(-0.351486, 2.927296, 3.668797, 1334.700000)
(-0.351437, 2.927327, 3.668753, 1334.711000)
(-0.351406, 2.927315, 3.668723, 1334.722000)
(-0.351406, 2.927444, 3.668742, 1334.733000)
(-0.351296, 2.927422, 3.668744, 1334.745000)
(-0.351327, 2.927538, 3.668724, 1334.756000)
(-0.351286, 2.927552, 3.668710, 1334.767000)
(-0.351506, 2.927457, 3.669012, 1334.778000)
(-0.351487, 2.927469, 3.669032, 1334.789000)
(-0.351532, 2.927378, 3.668789, 1334.800000)
(-0.351514, 2.927414, 3.668772, 1334.811000)
(-0.351415, 2.927488, 3.668595, 1334.822000)
(-0.351517, 2.927446, 3.668663, 1334.833000)
(-0.351378, 2.927361, 3.668675, 1334.844000)
(-0.351446, 2.927367, 3.668839, 1334.856000)
(-0.351417, 2.927358, 3.668848, 1334.867000)
(-0.351449, 2.927370, 3.668892, 1334.878000)
(-0.351433, 2.927367, 3.668877, 1334.889000)
(-0.351506, 2.927359, 3.668724, 1334.900000)
(-0.351290, 2.927374, 3.668703, 1334.911000)
(-0.351239, 2.927361, 3.668636, 1334.922000)
(-0.351174, 2.927438, 3.668629, 1334.933000)
(-0.351208, 2.927394, 3.668756, 1334.944000)
(-0.351355, 2.927422, 3.668926, 1334.956000)
(-0.351318, 2.927414, 3.668930, 1334.967000)
(-0.351586, 2.927500, 3.669113, 1334.978000)
(-0.351610, 2.927475, 3.669106, 1334.989000)
(-0.351546, 2.927539, 3.668703, 1335.000000)
(-0.351556, 2.927529, 3.668663, 1335.011000)
(-0.351328, 2.927351, 3.668768, 1335.022000)
(-0.351440, 2.927350, 3.668866, 1335.033000)
(-0.351308, 2.927309, 3.668699, 1335.044000)
(-0.351479, 2.927358, 3.668869, 1335.056000)
(-0.351469, 2.927335, 3.668865, 1335.067000)
(-0.351533, 2.927301, 3.668967, 1335.078000)
(-0.351612, 2.927376, 3.669050, 1335.089000)
(-0.351609, 2.927367, 3.669048, 1335.100000)
(-0.351597, 2.927338, 3.669065, 1335.111000)
(-0.351371, 2.927330, 3.668749, 1335.122000)
(-0.351393, 2.927298, 3.668726, 1335.133000)
(-0.351357, 2.927356, 3.668730, 1335.145000)
(-0.351549, 2.927336, 3.669182, 1335.156000)
(-0.351515, 2.927352, 3.669215, 1335.167000)
(-0.351511, 2.927369, 3.669215, 1335.178000)
(-0.351448, 2.927414, 3.668955, 1335.189000)
(-0.351449, 2.927427, 3.668946, 1335.200000)
(-0.351380, 2.927526, 3.668966, 1335.211000)
(-0.351590, 2.927473, 3.668840, 1335.222000)
(-0.351367, 2.927478, 3.668596, 1335.233000)
(-0.351384, 2.927393, 3.668525, 1335.245000)
(-0.351505, 2.927370, 3.668705, 1335.256000)
(-0.351558, 2.927418, 3.668710, 1335.267000)
(-0.351368, 2.927455, 3.668499, 1335.278000)
(-0.351293, 2.927611, 3.668439, 1335.289000)
(-0.351031, 2.927452, 3.668148, 1335.300000)
(-0.350945, 2.927472, 3.667985, 1335.311000)
(-0.351056, 2.927367, 3.668057, 1335.322000)
(-0.351245, 2.927421, 3.668548, 1335.333000)
(-0.351309, 2.927474, 3.668562, 1335.344000)
(-0.351534, 2.927567, 3.668518, 1335.356000)
(-0.351557, 2.927502, 3.668482, 1335.367000)
(-0.351434, 2.927378, 3.668718, 1335.378000)
(-0.351595, 2.927357, 3.669029, 1335.389000)
(-0.351568, 2.927363, 3.669064, 1335.400000)
(-0.351533, 2.927335, 3.669108, 1335.411000)
(-0.351487, 2.927365, 3.669143, 1335.422000)
(-0.351561, 2.927400, 3.669163, 1335.433000)
(-0.351487, 2.927338, 3.669118, 1335.444000)
(-0.351424, 2.927411, 3.669145, 1335.456000)
(-0.351462, 2.927361, 3.669014, 1335.467000)
(-0.351374, 2.927344, 3.668915, 1335.478000)
(-0.351324, 2.927389, 3.668822, 1335.489000)
(-0.351209, 2.927324, 3.668687, 1335.500000)
(-0.351166, 2.927305, 3.668606, 1335.511000)
(-0.351161, 2.927255, 3.668569, 1335.522000)
(-0.351148, 2.927236, 3.668550, 1335.533000)
(-0.351225, 2.927310, 3.668521, 1335.544000)
(-0.351362, 2.927362, 3.668633, 1335.556000)
(-0.351344, 2.927371, 3.668770, 1335.567000)
(-0.351261, 2.927332, 3.668622, 1335.578000)
(-0.351251, 2.927311, 3.668588, 1335.589000)
(-0.351255, 2.927306, 3.668558, 1335.600000)
(-0.351182, 2.927474, 3.668350, 1335.611000)
